t, u_C, u_R, u_E, i
-1, 0, 0, 0, 0
-0.98999999999999999, 0, 0, 0, 0
-0.97999999999999998, 0, 0, 0, 0
-0.96999999999999997, 0, 0, 0, 0
-0.95999999999999996, 0, 0, 0, 0
-0.94999999999999996, 0, 0, 0, 0
-0.93999999999999995, 0, 0, 0, 0
-0.92999999999999994, 0, 0, 0, 0
-0.92000000000000004, 0, 0, 0, 0
-0.91000000000000003, 0, 0, 0, 0
-0.90000000000000002, 0, 0, 0, 0
-0.89000000000000001, 0, 0, 0, 0
-0.88, 0, 0, 0, 0
-0.87, 0, 0, 0, 0
-0.85999999999999999, 0, 0, 0, 0
-0.84999999999999998, 0, 0, 0, 0
-0.83999999999999997, 0, 0, 0, 0
-0.82999999999999996, 0, 0, 0, 0
-0.82000000000000006, 0, 0, 0, 0
-0.81000000000000005, 0, 0, 0, 0
-0.80000000000000004, 0, 0, 0, 0
-0.79000000000000004, 0, 0, 0, 0
-0.78000000000000003, 0, 0, 0, 0
-0.77000000000000002, 0, 0, 0, 0
-0.76000000000000001, 0, 0, 0, 0
-0.75, 0, 0, 0, 0
-0.73999999999999999, 0, 0, 0, 0
-0.72999999999999998, 0, 0, 0, 0
-0.71999999999999997, 0, 0, 0, 0
-0.70999999999999996, 0, 0, 0, 0
-0.69999999999999996, 0, 0, 0, 0
-0.68999999999999995, 0, 0, 0, 0
-0.67999999999999994, 0, 0, 0, 0
-0.66999999999999993, 0, 0, 0, 0
-0.65999999999999992, 0, 0, 0, 0
-0.65000000000000002, 0, 0, 0, 0
-0.64000000000000001, 0, 0, 0, 0
-0.63, 0, 0, 0, 0
-0.62, 0, 0, 0, 0
-0.60999999999999999, 0, 0, 0, 0
-0.59999999999999998, 0, 0, 0, 0
-0.59000000000000008, 0, 0, 0, 0
-0.58000000000000007, 0, 0, 0, 0
-0.57000000000000006, 0, 0, 0, 0
-0.56000000000000005, 0, 0, 0, 0
-0.55000000000000004, 0, 0, 0, 0
-0.54000000000000004, 0, 0, 0, 0
-0.53000000000000003, 0, 0, 0, 0
-0.52000000000000002, 0, 0, 0, 0
-0.51000000000000001, 0, 0, 0, 0
-0.5, 0, 0, 0, 0
-0.48999999999999999, 0, 0, 0, 0
-0.47999999999999998, 0, 0, 0, 0
-0.46999999999999997, 0, 0, 0, 0
-0.45999999999999996, 0, 0, 0, 0
-0.44999999999999996, 0, 0, 0, 0
-0.43999999999999995, 0, 0, 0, 0
-0.43000000000000005, 0, 0, 0, 0
-0.42000000000000004, 0, 0, 0, 0
-0.41000000000000003, 0, 0, 0, 0
-0.40000000000000002, 0, 0, 0, 0
-0.39000000000000001, 0, 0, 0, 0
-0.38, 0, 0, 0, 0
-0.37, 0, 0, 0, 0
-0.35999999999999999, 0, 0, 0, 0
-0.34999999999999998, 0, 0, 0, 0
-0.33999999999999997, 0, 0, 0, 0
-0.32999999999999996, 0, 0, 0, 0
-0.31999999999999995, 0, 0, 0, 0
